"NOC","Year","Athletes","Sports","Events","Is host","Mean Sex","Mean Sport Participation","Mean Event Participation","Bronze Last Olympics","Silver Last Olympics","Gold Last Olympics","Bronze","Silver","Gold","Total","Rank"
"Finland","1908","62","6","23","0","1","499.042553191489","98.468085106383",NA,NA,NA,"3","1","1","5","13"
"South Africa","1908","14","4","15","0","1","378.030303030303","52.3636363636364",NA,NA,NA,"0","1","1","2","14"
"Greece","1908","20","3","25","0","1","600.448979591837","38.6122448979592","1","0","1","1","3","0","4","15"
"Denmark","1908","78","8","27","0","1","321.672897196262","92.9439252336449",NA,NA,NA,"3","2","0","5","16"
"Bohemia","1908","19","5","15","0","1","290.780487804878","52.6341463414634",NA,NA,NA,"2","0","0","2","17"
"Netherlands","1908","113","11","45","0","1","393.600917431193","68.9495412844037",NA,NA,NA,"2","0","0","2","17"
"Austria","1908","7","4","10","0","1","324.769230769231","36.7692307692308","1","1","1","1","0","0","1","19"
"United States","1912","172","11","68","0","1","747.75","47.9532967032967","12","12","23","19","19","26","64","1"
"Sweden","1912","434","16","95","1","0.946778711484594","512.990196078431","45.4607843137255","11","6","8","17","25","23","65","2"
"Great Britain","1912","273","16","79","0","0.963123644251627","506.68546637744","60.9544468546638","39","51","56","16","15","10","41","3"
"Finland","1912","164","10","49","0","0.991416309012876","474.098712446352","52.3948497854077","3","1","1","9","8","9","26","4"
"France","1912","119","13","66","0","0.991379310344828","534.383620689655","52.6810344827586","9","5","5","3","4","7","14","5"
"Germany","1912","185","14","69","0","0.967948717948718","403.022435897436","64.5512820512821","5","5","3","7","13","5","25","6"
"South Africa","1912","21","6","21","0","1","734.875","67.375","0","1","1","0","2","4","6","7"
"Norway","1912","190","14","58","0","0.988593155893536","445.060836501901","67.4638783269962","3","3","2","5","2","3","10","8"
"Canada","1912","37","7","30","0","1","717.45","51.0833333333333","10","3","3","3","2","3","8","9"
"Hungary","1912","121","11","52","0","1","502.536231884058","68.7971014492754","2","4","3","3","2","3","8","9"
"Italy","1912","66","8","36","0","1","439.21875","70.6770833333333","0","2","2","2","1","3","6","11"
"Australasia","1912","25","4","17","0","0.947368421052632","339.394736842105","46.4210526315789","2","2","1","3","2","2","7","12"
"Belgium","1912","36","9","23","0","0.986111111111111","269.638888888889","56.0277777777778","2","5","1","3","1","2","6","13"
"Denmark","1912","147","13","46","0","0.991416309012876","407.43347639485","69.7339055793991","3","2","0","5","6","1","12","14"
"Greece","1912","22","5","25","0","1","718.012987012987","51.7792207792208","1","3","0","1","0","1","2","15"
"Austria","1912","85","12","46","0","0.924242424242424","438.227272727273","66.3560606060606","1","0","0","2","2","0","4","17"
"Netherlands","1912","33","7","14","0","1","315.911111111111","99.9111111111111","2","0","0","3","0","0","3","18"
"United States","1920","285","18","113","0","0.953488372093023","489.07822410148","34.9408033826638",NA,NA,NA,"27","27","41","95","1"
"Sweden","1920","256","18","100","0","0.943069306930693","479.455445544554","41.8366336633663",NA,NA,NA,"25","20","19","64","2"
"Finland","1920","63","9","51","0","0.992647058823529","680.176470588235","34.8235294117647",NA,NA,NA,"9","10","15","34","3"
"Great Britain","1920","234","21","84","0","0.910144927536232","348.217391304348","47.3942028985507",NA,NA,NA,"13","15","14","42","4"
"Belgium","1920","336","23","121","1","0.965250965250965","347.287644787645","45.4169884169884",NA,NA,NA,"11","11","14","36","5"
"Norway","1920","193","16","72","0","0.97752808988764","385.142322097378","43.1460674157303",NA,NA,NA,"9","9","13","31","6"
"Italy","1920","173","18","79","0","0.993127147766323","411.398625429553","61.3436426116838",NA,NA,NA,"5","5","13","23","7"
"France","1920","304","23","113","0","0.966814159292035","385.159292035398","45.4491150442478",NA,NA,NA,"13","19","9","41","8"
"Netherlands","1920","130","15","58","0","0.995305164319249","397.910798122066","56.3286384976526",NA,NA,NA,"5","2","4","11","9"
"Denmark","1920","151","14","66","0","0.971544715447154","443.975609756098","51.0528455284553",NA,NA,NA,"1","9","3","13","10"
"South Africa","1920","39","7","34","0","0.979381443298969","609.371134020619","45.8041237113402",NA,NA,NA,"3","4","3","10","11"
"Canada","1920","52","9","39","0","1","424.682352941176","35.0470588235294",NA,NA,NA,"3","3","3","9","12"
"Switzerland","1920","77","13","45","0","1","495.5","54.1746031746032",NA,NA,NA,"7","2","2","11","13"
"Estonia","1920","14","3","19","0","1","592","25.25",NA,NA,NA,"0","2","1","3","14"
"Brazil","1920","19","5","10","0","1","497.789473684211","49.6315789473684",NA,NA,NA,"1","1","1","3","15"
"Australia","1920","13","5","19","0","0.896551724137931","379.137931034483","29.551724137931",NA,NA,NA,"1","2","0","3","16"
"Japan","1920","15","4","15","0","1","588.884615384615","37.8846153846154",NA,NA,NA,"0","2","0","2","17"
"Spain","1920","58","7","29","0","1","578.828828828829","77.6486486486486",NA,NA,NA,"0","2","0","2","17"
"Greece","1920","47","8","34","0","1","611.122448979592","71.4489795918367",NA,NA,NA,"0","1","0","1","19"
"Luxembourg","1920","25","6","18","0","1","461.371428571429","83.8",NA,NA,NA,"0","1","0","1","19"
"Czechoslovakia","1920","119","13","53","0","0.994505494505495","401.005494505494","68.8406593406593",NA,NA,NA,"2","0","0","2","21"
"New Zealand","1920","4","3","6","0","0.666666666666667","518.166666666667","29.5",NA,NA,NA,"1","0","0","1","22"
"United States","1924","297","18","108","0","0.923747276688453","507.252723311547","54.5555555555556","27","27","41","27","27","45","99","1"
"Finland","1924","121","12","69","0","1","646.897233201581","50.0830039525692","9","10","15","10","13","14","37","2"
"France","1924","401","20","128","1","0.921383647798742","426.811320754717","71.3930817610063","13","19","9","10","15","13","38","3"
"Great Britain","1924","267","18","115","0","0.908878504672897","481.794392523364","47.3621495327103","13","15","14","12","13","9","34","4"
"Italy","1924","199","18","93","0","0.978978978978979","471.681681681682","65.1681681681682","5","5","13","5","3","8","16","5"
"Switzerland","1924","141","17","74","0","0.980916030534351","448.370229007634","71.1335877862595","7","2","2","10","8","7","25","6"
"Norway","1924","62","10","43","0","0.961904761904762","428.904761904762","48.0761904761905","9","9","13","3","2","5","10","7"
"Sweden","1924","157","15","84","0","0.8984375","443.28125","58.42578125","25","20","19","12","13","4","29","8"
"Netherlands","1924","177","17","81","0","0.939024390243902","378.715447154472","72.6991869918699","5","2","4","5","1","4","10","9"
"Belgium","1924","172","17","82","0","0.957264957264957","336.119658119658","63.2051282051282","11","11","14","3","7","3","13","10"
"Australia","1924","36","9","31","0","0.983333333333333","462.5","48.0333333333333","1","2","0","2","1","3","6","11"
"Denmark","1924","89","13","60","0","0.879746835443038","389.044303797468","54.4620253164557","1","9","3","2","5","2","9","12"
"Hungary","1924","89","12","54","0","0.971428571428571","462.364285714286","69.6571428571429",NA,NA,NA,"4","3","2","9","13"
"Yugoslavia","1924","42","9","27","0","1","536.422413793103","89.1293103448276",NA,NA,NA,"0","0","2","2","14"
"Czechoslovakia","1924","133","16","75","0","0.983471074380165","456.45867768595","74.4710743801653","2","0","0","5","4","1","10","15"
"Argentina","1924","77","11","39","0","1","383.532110091743","55.5321100917431",NA,NA,NA,"2","3","1","6","16"
"Estonia","1924","37","5","26","0","1","485.914893617021","89.5744680851064","0","2","1","4","1","1","6","17"
"South Africa","1924","30","7","25","0","1","638.113636363636","63.1590909090909","3","4","3","1","1","1","3","18"
"Uruguay","1924","26","4","11","0","1","340.225","135.55",NA,NA,NA,"0","0","1","1","19"
"Austria","1924","49","8","27","0","0.946428571428571","361.625","38.5178571428571",NA,NA,NA,"1","3","0","4","20"
"Canada","1924","65","8","39","0","1","622.180722891566","45.3012048192771","3","3","3","1","3","0","4","20"
"Poland","1924","65","10","38","0","0.99","460.15","75.71",NA,NA,NA,"1","1","0","2","22"
"Haiti","1924","8","2","9","0","1","724.5625","68.125",NA,NA,NA,"1","0","0","1","23"
"Japan","1924","19","4","21","0","1","519.810810810811","47.8918918918919","0","2","0","1","0","0","1","23"
"New Zealand","1924","4","3","6","0","0.666666666666667","496","40.5","1","0","0","1","0","0","1","23"
"Portugal","1924","28","8","16","0","1","443.148936170213","65",NA,NA,NA,"1","0","0","1","23"
"Romania","1924","35","4","7","0","1","262.266666666667","118.377777777778",NA,NA,NA,"1","0","0","1","23"
"United States","1928","277","15","96","0","0.873239436619718","608.281690140845","71.6408450704225","27","27","45","16","18","22","56","1"
"Germany","1928","293","16","95","0","0.889724310776942","563.49373433584","76.0075187969925",NA,NA,NA,"14","7","10","31","2"
"Finland","1928","69","11","48","0","0.984848484848485","680.628787878788","55.6969696969697","10","13","14","9","8","8","25","3"
"Sweden","1928","100","11","66","0","0.870503597122302","472.287769784173","37.6330935251799","12","13","4","12","6","7","25","4"
"Italy","1928","174","15","81","0","0.923076923076923","506.040293040293","73.5091575091575","5","3","8","7","5","7","19","5"
"Switzerland","1928","133","15","70","0","0.995762711864407","487.169491525424","74.9872881355932","10","8","7","4","4","7","15","6"
"France","1928","255","17","112","0","0.872037914691943","544.004739336493","74.8744075829384","10","15","13","5","10","6","21","7"
"Netherlands","1928","266","17","103","1","0.856770833333333","539.005208333333","75.0859375","5","1","4","4","9","6","19","8"
"Hungary","1928","109","12","63","0","0.926940639269406","595.922374429224","71.9406392694064","4","3","2","0","5","4","9","9"
"Canada","1928","69","8","49","0","0.893805309734513","619.823008849557","49.6371681415929","1","3","0","7","4","4","15","10"
"Great Britain","1928","231","14","84","0","0.892655367231638","590.378531073446","72.9661016949153","12","13","9","7","10","3","20","11"
"Argentina","1928","81","12","40","0","1","317.244897959184","83.0816326530612","2","3","1","1","3","3","7","12"
"Denmark","1928","91","14","55","0","0.901639344262295","423.090163934426","66.5245901639344","2","5","2","2","1","3","6","13"
"Czechoslovakia","1928","69","14","51","0","0.993197278911565","512.027210884354","63.9659863945578","5","4","1","2","5","2","9","14"
"Japan","1928","40","7","31","0","0.964285714285714","592.517857142857","37.7321428571429","1","0","0","1","2","2","5","15"
"Estonia","1928","20","5","19","0","1","324.869565217391","31.1739130434783","4","1","1","2","1","2","5","16"
"Egypt","1928","32","5","14","0","1","286.744186046512","116.651162790698",NA,NA,NA,"1","1","2","4","17"
"Austria","1928","73","13","39","0","0.946902654867257","513.256637168142","84.1681415929203","1","3","0","1","0","2","3","18"
"Australia","1928","18","6","26","0","0.758620689655172","568.137931034483","29.1034482758621","2","1","3","1","2","1","4","19"
"Norway","1928","52","9","42","0","1","466.46835443038","47.5696202531646","3","2","5","1","2","1","4","19"
"Poland","1928","93","11","44","0","0.904109589041096","582.157534246575","72","1","1","0","3","1","1","5","21"
"Yugoslavia","1928","34","6","21","0","1","547.46511627907","94.9069767441861","0","0","2","3","1","1","5","21"
"South Africa","1928","24","7","25","0","0.7","606.375","36.375","1","1","1","2","0","1","3","23"
"India","1928","21","2","10","0","1","493.25","99.1666666666667",NA,NA,NA,"0","0","1","1","24"
"Ireland","1928","269","14","85","0","0.886934673366834","587.354271356784","73.4221105527638",NA,NA,NA,"0","0","1","1","24"
"New Zealand","1928","9","3","12","0","0.615384615384615","477.076923076923","23.5384615384615","1","0","0","0","0","1","1","24"
"Spain","1928","80","10","34","0","1","362.915094339623","95.3584905660377",NA,NA,NA,"0","0","1","1","24"
"Uruguay","1928","17","1","1","0","1","219","219","0","0","1","0","0","1","1","24"
"Belgium","1928","187","15","90","0","0.938461538461538","469.638461538462","70.4730769230769","3","7","3","2","1","0","3","29"
"Chile","1928","38","6","22","0","1","437.152173913043","86.5",NA,NA,NA,"0","1","0","1","30"
"Haiti","1928","2","1","3","0","1","992","58.6666666666667","1","0","0","0","1","0","1","30"
"Philippines","1928","4","2","6","0","1","635","39.3333333333333",NA,NA,NA,"1","0","0","1","32"
"Portugal","1928","31","8","14","0","1","335.897435897436","107.948717948718","1","0","0","1","0","0","1","32"
"United States","1932","463","17","122","1","0.833109017496635","714.051144010767","279.078061911171","16","18","22","30","36","44","110","1"
"Italy","1932","112","13","61","0","1","288.357142857143","68.7077922077922","7","5","7","12","12","12","36","2"
"France","1932","103","13","57","0","0.930817610062893","590.823899371069","203.836477987421","5","10","6","4","5","11","20","3"
"Sweden","1932","81","12","51","0","0.9609375","559.4453125","177.5","12","6","7","9","5","10","24","4"
"Japan","1932","157","11","66","0","0.866995073891626","446.522167487685","133.014778325123","1","2","2","4","7","7","18","5"
"Hungary","1932","58","11","39","0","0.983050847457627","469.449152542373","149.016949152542","0","5","4","5","5","6","16","6"
"Germany","1932","145","15","67","0","0.910891089108911","634.613861386139","194.193069306931","14","7","10","7","12","5","24","7"
"Finland","1932","40","5","36","0","1","278.393939393939","16.4545454545455","9","8","8","12","8","5","25","8"
"Great Britain","1932","107","10","50","0","0.847058823529412","598.852941176471","244.123529411765","7","10","3","5","7","5","17","9"
"Poland","1932","51","4","21","0","0.830985915492958","794.619718309859","284.661971830986","3","1","1","4","2","3","9","10"
"Australia","1932","13","6","17","0","0.75","354.35","78.85","1","2","1","1","1","3","5","11"
"Argentina","1932","33","7","30","0","1","330.510638297872","21.7021276595745","1","3","3","0","1","3","4","12"
"Canada","1932","102","10","69","0","0.863874345549738","461.958115183246","85.1832460732984","7","4","4","9","5","2","16","13"
"Netherlands","1932","46","9","29","0","0.6875","659.0125","251","4","9","6","1","5","2","8","14"
"South Africa","1932","12","4","18","0","0.75","310.3","16.5","2","0","1","3","0","2","5","15"
"Ireland","1932","123","10","56","0","0.845744680851064","611.015957446809","252.420212765957","0","0","1","0","0","2","2","16"
"Czechoslovakia","1932","25","4","15","0","1","958.818181818182","302.795454545455","2","5","2","2","3","1","6","17"
"Austria","1932","19","7","14","0","0.909090909090909","766.030303030303","151.090909090909","1","0","2","3","1","1","5","18"
"India","1932","19","3","8","0","1","218.769230769231","34.0769230769231","0","0","1","0","0","1","1","19"
"Denmark","1932","43","9","34","0","0.765957446808511","622.81914893617","198.053191489362","2","1","3","3","5","0","8","20"
"Mexico","1932","72","12","52","0","0.98","262.57","20.31",NA,NA,NA,"0","2","0","2","21"
"Latvia","1932","5","2","4","0","1","1031.38461538462","503.769230769231",NA,NA,NA,"0","1","0","1","22"
"New Zealand","1932","21","4","15","0","0.96551724137931","266.137931034483","38.9655172413793","0","0","1","0","1","0","1","22"
"Switzerland","1932","7","4","9","0","1","540.777777777778","24.2222222222222","4","4","7","0","1","0","1","22"
"Philippines","1932","8","3","7","0","1","180.875","15.375","1","0","0","3","0","0","3","25"
"Belgium","1932","36","2","10","0","0.63768115942029","961.913043478261","373.202898550725","2","1","0","1","0","0","1","26"
"Spain","1932","7","3","4","0","1","180.625","21.25","0","0","1","1","0","0","1","26"
"Uruguay","1932","2","2","2","0","1","964.333333333333","22.5","0","0","1","1","0","0","1","26"
"Germany","1936","433","22","143","1","0.910499139414802","575.244406196213","81.1927710843374","7","12","5","32","31","38","101","1"
"United States","1936","352","21","127","0","0.880903490759754","573.605749486653","85.2279260780287","30","36","44","12","21","24","57","2"
"Hungary","1936","216","21","104","0","0.928358208955224","515.69552238806","77.5402985074627","5","5","6","5","1","10","16","3"
"Italy","1936","244","17","99","0","0.94269340974212","620.790830945559","96.9025787965616","12","12","12","5","13","9","27","4"
"Finland","1936","108","14","70","0","0.946236559139785","691.010752688172","72.0967741935484","12","8","5","6","6","8","20","5"
"France","1936","201","18","100","0","0.957095709570957","539.442244224422","78.6006600660066","4","5","11","6","6","7","19","6"
"Sweden","1936","169","17","84","0","0.939393939393939","515.818181818182","59.0822510822511","9","5","10","10","5","6","21","7"
"Japan","1936","220","14","79","0","0.92","665.96","123.055384615385","4","7","7","10","4","6","20","8"
"Netherlands","1936","165","15","75","0","0.859030837004405","509.766519823789","94.9339207048458","1","5","2","7","4","6","17","9"
"Austria","1936","234","19","105","0","0.931129476584022","593.66391184573","95.7355371900826","3","1","1","5","7","5","17","10"
"Switzerland","1936","190","21","102","0","0.981707317073171","547.408536585366","81.2957317073171","0","1","0","5","9","4","18","11"
"Great Britain","1936","208","17","91","0","0.828","490.988","62.4","5","7","5","3","7","4","14","12"
"Czechoslovakia","1936","189","17","102","0","0.9419795221843","595.928327645051","76.962457337884","2","3","1","1","5","3","9","13"
"Argentina","1936","51","8","31","0","0.985294117647059","489.838235294118","55.9264705882353","0","1","3","3","2","2","7","14"
"Estonia","1936","33","8","29","0","1","379.833333333333","63.1111111111111",NA,NA,NA,"3","2","2","7","14"
"Egypt","1936","53","10","30","0","1","342.166666666667","91.8636363636364",NA,NA,NA,"2","1","2","5","16"
"Canada","1936","97","12","69","0","0.838323353293413","544.059880239521","60.5568862275449","9","5","2","5","3","1","9","17"
"Norway","1936","70","12","43","0","0.964285714285714","352.345238095238","69.8928571428571",NA,NA,NA,"2","3","1","6","18"
"Turkey","1936","48","7","26","0","0.967741935483871","278.629032258065","98.241935483871",NA,NA,NA,"1","0","1","2","19"
"India","1936","27","4","12","0","1","364.4","118.4","0","0","1","0","0","1","1","20"
"New Zealand","1936","7","3","9","0","1","495.666666666667","37.5555555555556","0","1","0","0","0","1","1","20"
"Poland","1936","144","15","55","0","0.892655367231638","528.435028248588","117.101694915254","4","2","3","5","4","0","9","22"
"Denmark","1936","121","14","71","0","0.878612716763006","380.271676300578","64.8208092485549","3","5","0","3","2","0","5","23"
"Latvia","1936","29","6","16","0","1","485.787878787879","84.6363636363636","0","1","0","1","1","0","2","24"
"Romania","1936","54","9","33","0","0.983050847457627","670.889830508475","90.3728813559322",NA,NA,NA,"0","1","0","1","25"
"South Africa","1936","32","6","27","0","0.777777777777778","767.092592592593","95.6666666666667","3","0","2","0","1","0","1","25"
"Yugoslavia","1936","93","13","59","0","0.913294797687861","694.439306358381","82.4913294797688",NA,NA,NA,"0","1","0","1","25"
"Belgium","1936","150","15","72","0","0.975609756097561","491.419512195122","97.0536585365854","1","0","0","3","0","0","3","28"
"Mexico","1936","32","8","14","0","1","253.25","94.84375","0","2","0","3","0","0","3","28"
"Australia","1936","32","7","26","0","0.846153846153846","444.282051282051","53.1538461538462","1","1","3","1","0","0","1","30"
"Philippines","1936","28","6","20","0","1","414.275","78.35","3","0","0","1","0","0","1","30"
"Portugal","1936","19","5","10","0","1","371.076923076923","64.0769230769231",NA,NA,NA,"1","0","0","1","30"
"United States","1948","289","19","126","0","0.863207547169811","589.141509433962","74.7641509433962",NA,NA,NA,"19","27","38","84","1"
"Sweden","1948","180","18","100","0","0.887892376681614","490.242152466368","56.2959641255605",NA,NA,NA,"17","11","16","44","2"
"France","1948","316","20","135","0","0.884526558891455","567.034642032333","76.7621247113164",NA,NA,NA,"13","6","10","29","3"
"Hungary","1948","128","15","76","0","0.878378378378378","613.103603603604","87.8828828828829",NA,NA,NA,"12","5","10","27","4"
"Italy","1948","215","16","89","0","0.919354838709677","566.241935483871","88.8064516129032",NA,NA,NA,"8","11","8","27","5"
"Finland","1948","129","16","84","0","0.967441860465116","661.581395348837","66.6279069767442",NA,NA,NA,"5","7","8","20","6"
"Turkey","1948","58","7","42","0","0.988505747126437","532.218390804598","71.2643678160919",NA,NA,NA,"2","4","6","12","7"
"Czechoslovakia","1948","87","11","57","0","0.901960784313726","727.849673202614","97.5490196078431",NA,NA,NA,"3","2","6","11","8"
"Switzerland","1948","186","19","98","0","0.965156794425087","543.062717770035","87.7526132404181",NA,NA,NA,"5","10","5","20","9"
"Denmark","1948","160","17","83","0","0.885375494071146","541.086956521739","85.4743083003953",NA,NA,NA,"8","7","5","20","10"
"Netherlands","1948","149","18","74","0","0.754010695187166","481.342245989305","73.3689839572193",NA,NA,NA,"9","2","5","16","11"
"Great Britain","1948","406","20","139","1","0.827118644067797","552.75593220339","79.8762711864407",NA,NA,NA,"6","14","3","23","12"
"Argentina","1948","199","16","101","0","0.932203389830508","535.759322033898","82.6101694915254",NA,NA,NA,"1","3","3","7","13"
"Australia","1948","75","11","52","0","0.825242718446602","528.339805825243","55.6116504854369",NA,NA,NA,"5","6","2","13","14"
"Belgium","1948","151","17","77","0","0.873626373626374","435.835164835165","84.5824175824176",NA,NA,NA,"3","2","2","7","15"
"Egypt","1948","85","12","53","0","1","604.024096385542","109.192771084337",NA,NA,NA,"1","2","2","5","16"
"Mexico","1948","88","14","57","0","0.939597315436242","509.939597315436","101.919463087248",NA,NA,NA,"2","1","2","5","17"
"South Africa","1948","35","10","34","0","0.953488372093023","448.418604651163","43.8139534883721",NA,NA,NA,"1","1","2","4","18"
"Norway","1948","81","12","50","0","0.938144329896907","462.587628865979","54.7525773195876",NA,NA,NA,"3","3","1","7","19"
"Jamaica","1948","13","3","14","0","0.653846153846154","946.846153846154","41.1153846153846",NA,NA,NA,"0","2","1","3","20"
"Austria","1948","148","17","79","0","0.824267782426778","595.937238493724","81.0209205020921",NA,NA,NA,"3","0","1","4","21"
"India","1948","79","10","39","0","1","333.786516853933","109.011235955056",NA,NA,NA,"0","0","1","1","22"
"Peru","1948","41","7","26","0","1","477.530612244898","104.408163265306",NA,NA,NA,"0","0","1","1","22"
"Yugoslavia","1948","90","8","35","0","0.925925925925926","722.160493827161","104.33950617284",NA,NA,NA,"0","2","0","2","24"
"Canada","1948","127","13","83","0","0.829787234042553","514.813829787234","64.3829787234042",NA,NA,NA,"2","1","0","3","25"
"Portugal","1948","48","8","22","0","1","342.707692307692","64",NA,NA,NA,"1","1","0","2","26"
"Uruguay","1948","61","11","32","0","0.987341772151899","419.20253164557","101.987341772152",NA,NA,NA,"1","1","0","2","26"
"Cuba","1948","53","12","31","0","1","732.830357142857","116.419642857143",NA,NA,NA,"0","1","0","1","28"
"Spain","1948","65","11","37","0","1","331.630952380952","77.3690476190476",NA,NA,NA,"0","1","0","1","28"
"Trinidad and Tobago","1948","5","3","9","0","1","785.111111111111","35.3333333333333",NA,NA,NA,"0","1","0","1","28"
"Panama","1948","1","1","2","0","1","1051","57",NA,NA,NA,"2","0","0","2","32"
"South Korea","1948","46","7","24","0","0.979166666666667","409.854166666667","121.979166666667",NA,NA,NA,"2","0","0","2","32"
"Brazil","1948","70","11","41","0","0.79047619047619","494.980952380952","71.4761904761905",NA,NA,NA,"1","0","0","1","34"
"Iran","1948","36","5","23","0","1","227.435897435897","114.435897435897",NA,NA,NA,"1","0","0","1","34"
"Poland","1948","38","5","28","0","0.865384615384615","513.769230769231","47.1923076923077",NA,NA,NA,"1","0","0","1","34"
